,parsed_line,heading_bool,source_paper,math_bool,latin_numbered_bool,numberic_numbered_bool
0,"Abstract
",True,1802,False,False,True
1,"1 Introduction
",True,1802,False,False,True
2,"2.1 Concepts, Notation, and Training
",True,1802,False,False,True
3,"2.2 Generative Sequence Models
",True,1802,False,False,True
4,"2.3 Overﬁtting in Machine Learning
",True,1802,False,False,True
221,"Abstract : With introducing and developing AI logic, this science as a branch of computer science could impact 
",True,188130647,False,False,False
222,"I. INTRODUCTION  
",True,188130647,False,False,False
223,"II. ARTIFICIAL INTELLIGENCE  (AI) 
",True,188130647,False,False,False
224,"III. INTELLIGENT SYSTEM  (IS) 
",True,188130647,False,False,False
225,"IV. EXPERT SYTEMS (ESs)  
",True,188130647,False,False,False
226,"V. APPLICATION IS / AI / ES IN THE LIBRARY SYSTEM   
",True,188130647,False,False,False
227,"VII. FINDING  
",True,188130647,False,False,False
617,"Abstract.  Falls are some of the most common sources of injury among the el-
",True,2012_Book_AmbientIntelligence,False,False,True
618,"1 Introduction 
",True,2012_Book_AmbientIntelligence,False,False,True
619,"2 Related Work 
",True,2012_Book_AmbientIntelligence,False,False,True
620,"3 Sensor Equipment 
",True,2012_Book_AmbientIntelligence,False,False,True
621,"4 System Architecture 
",True,2012_Book_AmbientIntelligence,False,False,True
622,"5 Data Preproces s
",True,2012_Book_AmbientIntelligence,False,False,True
623,"5.1 Inertial Data 
",True,2012_Book_AmbientIntelligence,False,False,True
624,"3-axis gyroscope data. It 
",True,2012_Book_AmbientIntelligence,False,False,True
625,"5.2 Location Data 
",True,2012_Book_AmbientIntelligence,False,False,True
626,"15 cm, but in practice it m a
",True,2012_Book_AmbientIntelligence,False,False,True
627,"6 Context Compo
",True,2012_Book_AmbientIntelligence,False,False,True
628,"5 
",True,2012_Book_AmbientIntelligence,False,False,True
629,"6.1 Body Accelerations 
",True,2012_Book_AmbientIntelligence,False,False,True
1141,"Article Info   ABSTRACT  
",True,29020-59012-1-PB,False,False,True
1142,"1. INTRODUCTION  
",True,29020-59012-1-PB,False,False,True
1143,"2. LIERATURE REVIEW  
",True,29020-59012-1-PB,False,False,True
1144,"3. METHODS  
",True,29020-59012-1-PB,False,False,True
1145,"3.1.  Classification and Weka Workbench  
",True,29020-59012-1-PB,False,False,True
1146,"3.2.  The implemented models  
",True,29020-59012-1-PB,False,False,True
1147,"4. COMPUTA TIONAL RESULTS AND DISCUSSION  
",True,29020-59012-1-PB,False,False,True
1148,"4.1.  The implemented  models  
",True,29020-59012-1-PB,False,False,True
